"","num","name","r.created","roomtype","ptidx"
"1","4003","BhoOrgRoom","2017-11-15 18:16:55 UTC","Room",1
"2","4004","BillGates","2017-11-07 10:18:31 UTC","ConfRoom",2
"3","4005","GraceHopper","2017-11-15 17:19:44 UTC","ConfRoom",3
"4","4006","GordonMoore","2017-11-15 17:23:19 UTC","ConfRoom",4
"5","4007","KonradZuse","2017-11-07 10:18:31 UTC","ConfRoom",5
"6","4010","Stuff","2017-11-15 18:31:04 UTC","Room",6
"7","4011","Room-4011","2017-11-15 19:30:06 UTC","SmallConfRoom",7
"8","4011.5","StairWell1","2017-11-15 19:42:13 UTC","Room",8
"9","4012","HeinzNixdorf","2017-11-15 12:23:05 UTC","ConfRoom",9
"10","4014","Leibnitz","2017-11-15 19:24:32 UTC","ConfRoom",10
"11","4016","","2017-11-07 10:18:31 UTC","Room",11
"12","4017","StorageRoom","2017-11-15 19:47:20 UTC","OpenArea",12
"13","4018","Room4018","2017-11-15 19:52:21 UTC","ConfRoom",13
"14","4019","OpenDesk4019","2017-11-16 12:57:48 UTC","OpenDeskArea",14
"15","4020.5","DeadSpace1","2017-11-15 21:37:11 UTC","Room",15
"16","4023","Room4023","2017-11-16 10:55:44 UTC","Room",16
"17","4020","OpenArea4020","2017-11-16 11:42:47 UTC","OpenArea",17
"18","4021","SupplyRoom","2017-11-16 11:37:31 UTC","Room",18
"19","4022","OpenDeskArea4022","2017-11-16 11:10:31 UTC","OpenDeskArea",19
"20","4023.1","Room4023.1","2017-11-16 11:03:27 UTC","Room",20
"21","4024","Room4024","2017-11-16 11:06:27 UTC","Bathroom",21
"22","4028","WomansRoom4028.1","2017-11-15 21:51:48 UTC","WomensRoom",22
"23","4028.2","WomansRoom4028.2","2017-11-15 22:00:25 UTC","WomensRoom",23
"24","4026.1","MensRoom4026.1","2017-11-15 22:29:53 UTC","MensRoom",24
"25","4026.2","MensRoom2026.2","2017-11-15 22:33:21 UTC","MensRoom",25
"26","4027","RestRoomStorageRoom","2017-11-15 22:04:49 UTC","StorageRoom",26
"27","4027.5","DeadSpace2","2017-11-15 22:36:09 UTC","Room",27
"28","4029","Room4029","2017-11-15 20:19:11 UTC","StorageRoom",28
"29","4030","Room4030","2017-11-15 20:13:15 UTC","StorageRoom",29
"30","4030.5","StairWell2","2017-11-15 20:25:57 UTC","Room",30
"31","room-nopoints","","2017-11-07 10:18:31 UTC","Room",31
"32","4031","Room4031","2017-11-16 12:00:16 UTC","Room",32
"33","4031.1","Room4031.1","2017-11-16 11:54:46 UTC","OpenArea",33
"34","4032","Room4032","2017-11-16 12:05:55 UTC","OfficeRoom",34
"35","4034","Room4034","2017-11-16 12:09:11 UTC","OfficeRoom",35
"36","4035","Room4035","2017-11-16 12:14:26 UTC","OfficeRoom",36
"37","4036","Room4036","2017-11-16 12:18:25 UTC","SmallConfRoom",37
"38","4037","Room4037","2017-11-16 12:22:32 UTC","SmallConfRoom",38
"39","4038","Room4038","2017-11-16 12:26:32 UTC","Room",39
"40","4039","Room4039","2017-11-16 12:39:52 UTC","SmallConfRoom",40
"41","4040","Room4040","2017-11-16 12:44:08 UTC","SmallConfRoom",41
"42","4042","Room4042","2017-11-16 13:06:17 UTC","SmallConfRoom",42
"43","4043","Room4043","2017-11-16 13:09:36 UTC","SmallConfRoom",43
"44","4045","Room4045","2017-11-16 13:12:16 UTC","SmallConfRoom",44
"45","4046","OpenDeskArea4046","2017-11-16 13:15:59 UTC","OpenDeskArea",45
"46","4047.1","WomansRoom2.1","2017-11-17 15:53:50 UTC","WomensRoom",46
"47","4047","WomansRoom2deep","2017-11-17 15:56:31 UTC","WomensRoom",47
"48","4048","StorageRoom4048","2017-11-17 15:44:27 UTC","StorageRoom",48
"49","4049.1","MensRoom2","2017-11-17 15:47:45 UTC","MensRoom",49
"50","4049.2","MensRoom2deep","2017-11-17 15:50:36 UTC","MensRoom",50
"51","4050","Room4050","2017-11-16 15:26:37 UTC","Room",51
"52","4052","Room4052","2017-11-16 15:30:12 UTC","Room",52
"53","4053","Room4053","2017-11-16 15:33:59 UTC","Room",53
"54","4054","Room4054","2017-11-16 15:38:03 UTC","Room",54
"55","4055","Room4055","2017-11-16 15:42:20 UTC","Room",55
"56","4056.1","Stairwell3","2017-11-16 15:46:36 UTC","Room",56
"57","4056","OpenArea4056","2017-11-17 16:00:54 UTC","OpenArea",57
"58","4057","Room4057","2017-11-16 15:52:23 UTC","Room",58
"59","4058","Room4058","2017-11-16 14:34:29 UTC","OpenDeskArea",59
"60","4059","Room4059","2017-11-16 14:31:05 UTC","SmallConfRoom",60
"61","4060","Room4060","2017-11-16 14:28:41 UTC","SmallConfRoom",61
"62","4091","Balcony4091","2017-11-17 16:17:33 UTC","Balcony",62
"63","4092","Balcony4092","2017-11-17 16:12:15 UTC","Balcony",63
"64","4093","Balcony4093","2017-11-17 16:19:57 UTC","Balcony",64
"65","4094","Balcony4094","2017-11-17 16:04:51 UTC","Balcony",65
"66","4095","Balcony4095","2017-11-17 16:08:13 UTC","Balcony",66
"67","401","Elev401","2017-11-15 19:55:34 UTC","Room",67
"68","402","Elev402","2017-11-15 19:55:34 UTC","Room",68
