"","t","pos.x","pos.y","pos.z","fwd.x","fwd.y","fwd.z","up.x","up.y","up.z"
"139",0.36,0,1.727,0,1,-0.031,0,0.031,0.999,0.044
"138",1.02,0.00317482341506192,1.729,-0.00518849653398501,1,-0.014,-0.004,0.014,0.999,0.048
"137",2.02,-0.00126445993209146,1.731,-0.0102176876581801,0.997,0.012,-0.078,-0.008,0.999,0.053
"136",3.02,-0.0116974487738979,1.73,-0.000411937109307203,0.998,0.001,-0.069,0.002,0.999,0.048
"135",8.74,-0.0128399338120921,1.729,0.00775474691405886,0.998,-0.002,-0.057,0.005,0.998,0.056
"134",9.04,0.0756844195197246,1.749,0.183730423833296,0.996,0.027,-0.08,-0.021,0.997,0.078
"133",10.08,0.284883314097065,1.746,0.421404197118483,0.845,-0.179,0.504,0.124,0.982,0.141
"132",11.03,0.965569523023699,1.688,0.872220440145599,0.079,-0.39,0.917,0.097,0.919,0.382
"131",12.01,1.83411811309193,1.666,1.39462387303105,0.162,-0.568,0.807,0.181,0.821,0.542
"130",13.03,2.68188536985454,1.696,1.96579344361512,-0.231,-0.595,0.77,-0.141,0.803,0.579
"129",14.01,2.93584910162783,1.7,2.0392810136102,-0.319,-0.551,-0.771,-0.22,0.834,-0.506
"128",15.02,3.01394914802957,1.758,2.1689821421791,-0.149,-0.284,-0.947,0.002,0.958,-0.288
"127",16.06,3.05792874295729,1.768,2.12419603685621,-0.105,-0.073,-0.992,0.008,0.997,-0.074
"126",17.64,3.02399884836623,1.774,2.216183874384,-0.132,-0.078,-0.988,0.01,0.997,-0.079
"125",18.02,3.02455142562739,1.774,2.21748566483199,-0.124,-0.077,-0.989,0.008,0.997,-0.078
"124",19.05,3.0228376980701,1.771,2.22973569086703,-0.122,-0.061,-0.991,0.018,0.998,-0.063
"123",20,3.03191290069008,1.772,2.23663791495831,-0.11,-0.041,-0.993,0.027,0.999,-0.044
"122",30.49,3.02690237482383,1.772,2.2356920658458,-0.106,-0.035,-0.994,0.036,0.999,-0.039
"121",31.02,2.97187991658481,1.7,2.19836206330983,-0.129,-0.517,-0.846,-0.081,0.856,-0.51
"120",32.02,2.88918258286063,1.584,2.16279310219326,-0.065,-0.956,-0.286,-0.137,0.293,-0.946
"119",33.01,3.05209434287243,1.72,2.14664508529149,-0.947,-0.32,0.02,-0.32,0.939,-0.124
"118",34.02,3.07696900153594,1.735,2.14914535655151,-0.964,-0.264,-0.019,-0.265,0.964,0.016
"117",35.02,3.08005049866127,1.731,2.17088252231585,-0.972,-0.234,-0.016,-0.234,0.972,0.025
"116",36.05,3.09387361210177,1.728,2.14734698461621,-0.968,-0.251,-0.025,-0.252,0.966,0.057
"115",38.72,3.09777898344572,1.726,2.14568925283276,-0.967,-0.253,-0.028,-0.254,0.966,0.055
"114",39.04,3.0744960774456,1.727,2.11255458385615,-0.97,-0.243,0.007,-0.242,0.97,0.027
"113",40.02,3.07394350018445,1.727,2.11125279340817,-0.97,-0.242,0.025,-0.241,0.97,0.028
"112",41.04,3.07952526856979,1.728,2.108115300509,-0.972,-0.232,0.046,-0.231,0.973,0.027
"111",43.74,3.07859808471523,1.728,2.10774069391558,-0.971,-0.234,0.048,-0.233,0.972,0.023
"110",44.01,3.0834119746558,1.729,2.11184270118521,-0.973,-0.227,0.039,-0.226,0.974,0.024
"109",45,3.09805028040318,1.72,2.12099256483698,-0.946,-0.313,0.086,-0.31,0.95,0.043
"108",46.02,3.11228533095299,1.723,2.08575957836344,-0.954,-0.267,0.136,-0.261,0.964,0.058
"107",47.02,3.43603137347684,1.721,1.42060282995736,-0.945,-0.29,0.153,-0.287,0.957,0.041
"106",48.02,4.07369426510948,1.687,0.461648171678521,-0.946,-0.297,0.128,-0.301,0.954,-0.011
"105",49.02,4.7351066941909,1.673,-0.598800129115358,-0.92,-0.368,0.138,-0.373,0.928,-0.01
"104",50.02,5.28401126605015,1.673,-1.71980404123699,-0.873,-0.446,0.199,-0.44,0.895,0.075
"103",51.03,5.88886548000299,1.667,-2.80310334422924,-0.738,-0.559,0.379,-0.517,0.829,0.214
"102",52.03,6.62097046799583,1.734,-3.686152202762,-0.468,-0.332,0.819,-0.132,0.943,0.307
"101",53.07,7.63123711953117,1.723,-3.92294175657625,-0.345,-0.161,0.924,-0.088,0.986,0.139
"100",54.1,8.92207715718756,1.736,-3.88782769695262,-0.362,-0.147,0.92,-0.05,0.989,0.139
"99",55.01,10.0509985978068,1.75,-3.80165124477325,-0.396,-0.121,0.91,-0.046,0.993,0.112
"98",56.4,12.039137763176,1.894,-4.19772151521155,-0.43,-0.115,0.895,-0.067,0.993,0.096
"97",57.08,13.0074224305136,1.929,-4.16242558061669,-0.456,-0.151,0.877,-0.039,0.988,0.15
"96",58.03,14.1504743106122,1.897,-4.24202708439083,-0.465,-0.24,0.852,-0.069,0.969,0.236
"95",59.03,15.3872090905379,1.891,-4.2945635871493,-0.497,-0.206,0.843,-0.065,0.978,0.201
"94",60.03,16.6428261250669,1.907,-4.22298941163593,-0.686,-0.2,0.699,-0.111,0.979,0.172
"93",61.03,17.7961803372017,1.939,-4.27470073874128,-0.911,-0.231,0.341,-0.21,0.973,0.097
"92",62.02,18.5639415335581,1.936,-4.99774136371984,-0.951,-0.295,0.088,-0.298,0.954,-0.016
"91",63.01,19.1255467005121,1.943,-6.03272379663867,-0.962,-0.267,0.065,-0.268,0.964,-0.003
"90",64.01,19.4781048978213,1.94,-7.13491013184251,-0.946,-0.239,0.219,-0.246,0.969,-0.004
