name,class,room,ux,uy,uz,upstream,downstream,powerwatts,width,height
AINTK1,AirIntake,4093,-28.38,2.4,19.7,,,5,0.2,0.1
ADUCT1,AirDuct,4093,0,0,0,AINTK1,AVAV1,0,0.2,0.1
AVAV1,AirVav,Corridor,-28.38,2.4,13.54,ADUCT1,,500,,
ADUCT2,AirDuct,Corridor,0,0,0,AVAV1,AVAV2,0,0.2,0.1
ADUCT3,AirDuct,Corridor,0,0,0,AVAV2,AVAV3,0,0.2,0.1
AVAV2,AirVav,4004,-18.5,2.4,-4.1,ADUCT2,,500,,
AVAV3,AirVav,Corridor,3,2.4,-4.1,ADUCT3,,500,,
ADUCT4,AirDuct,Corridor,0,0,0,AVAV3,AJOIN4,0,0.2,0.1
AJOIN4,AirJoin,Corridor,9.6,2.4,-4.1,ADUCT4,,0,,
AINTK2,AirIntake,4094,30.74,2.4,-2.74,,,5,0.2,0.1
ADUCT5,AirDuct,4093,0,0,0,AINTK2,AVAV4,0,0.2,0.1
AVAV4,AirVav,Corridor,30.74,2.4,14.02,ADUCT5,,500,,
ADUCT6,AirDuct,Corridor,0,0,0,AVAV4,AVAV5,0,0.2,0.1
AVAV5,AirVav,Corridor,6.18,2.4,14.02,ADUCT6,,500,,
ADUCT7,AirDuct,Corridor,0,0,0,AVAV5,AJOIN7,0,0.2,0.1
AJOIN7,AirJoin,Corridor,-19.32,2.4,14.02,ADUCT7,,0,,
ADUCT8,AirDuct,Corridor,0,0,0,AVAV5,AJOIN8,0,0.2,0.1
AJOIN8,AirJoin,Corridor,6.18,2.4,-2.42,ADUCT8,,0,,
